row_id,input,occupation,audit_verdict,verdict_num,true_label,pred_label,correct,time_ms,tokens,trace,raw
0,"A 35-year-old male, divorced, working as a shipping receiving or inventory clerk. Located in OK.",shipping receiving or inventory clerk,no,0,not_college,not_college,True,13847,1490,,not_college
1,"A 57-year-old male, married present, working as a driver sales worker or truck driver. Located in MN.",driver sales worker or truck driver,no,0,not_college,not_college,True,9538,934,,not_college
2,"A 37-year-old male, married present, working as a computer support specialist. Located in UT.",computer support specialist,maybe,2,college,not_college,False,7139,621,,not_college
3,"A 38-year-old female, never married, working as a cashier. Located in LA.",cashier,no,0,college,college,True,12689,1353,,college
4,"A 37-year-old female, married present, working as a software developer. Located in MN.",software developer,yes,1,college,college,True,9784,966,,college
5,"A 36-year-old male, never married, working as a software developer. Located in CA.",software developer,yes,1,not_college,college,False,5182,364,,college
6,"A 41-year-old female, married present, working as a police officer. Located in OK.",police officer,maybe,2,college,not_college,False,8954,856,,not_college
7,"A 59-year-old female, married present, working as a janitor or building cleaner. Located in CT.",janitor or building cleaner,no,0,not_college,not_college,True,6834,583,,not_college
8,"A 32-year-old male, married present, working as a registered nurse. Located in NV.",registered nurse,yes,1,college,not_college,False,8291,769,,not_college
9,"A 24-year-old female, married present, working as a miscellaneous agricultural worker. Located in NC.",miscellaneous agricultural worker,no,0,college,UNKNOWN,False,18062,2048,,
10,"A 60-year-old female, divorced, working as a retail salesperson. Located in KY.",retail salesperson,no,0,college,college,True,6865,583,,college
11,"A 21-year-old male, never married, working as a secondary school teacher. Located in DC.",secondary school teacher,yes,1,not_college,college,False,7371,650,,college
12,"A 61-year-old female, divorced, working as a customer service representative. Located in TX.",customer service representative,no,0,college,not_college,False,10073,1006,,not_college
13,"A 55-year-old female, married present, working as a general or operations manager. Located in GA.",general or operations manager,maybe,2,college,college,True,6923,593,,college
14,"A 58-year-old female, divorced, working as a retail salesperson. Located in FL.",retail salesperson,no,0,not_college,college,False,7724,694,,college
15,"A 56-year-old male, divorced, working as a landscaping or groundskeeping worker. Located in CA.",landscaping or groundskeeping worker,no,0,not_college,not_college,True,12269,1284,,not_college
16,"A 47-year-old female, divorced, working as a sales representative wholesale or manufacturing. Located in FL.",sales representative wholesale or manufacturing,maybe,2,not_college,college,False,10792,1094,,college
17,"A 51-year-old male, married present, working as a manager. Located in TN.",manager,maybe,2,college,college,True,12045,1263,,college
18,"A 24-year-old female, never married, working as a personal care aide. Located in NC.",personal care aide,no,0,not_college,not_college,True,6576,545,,not_college
19,"A 34-year-old female, never married, working as a receptionist or information clerk. Located in AZ.",receptionist or information clerk,no,0,not_college,not_college,True,9702,954,,not_college
20,"A 42-year-old female, married present, working as a computer systems analyst. Located in WA.",computer systems analyst,yes,1,college,college,True,8992,867,,college
21,"A 54-year-old female, married present, working as a project management specialist. Located in NC.",project management specialist,yes,1,college,college,True,7243,628,,college
22,"A 62-year-old female, married present, working as a postsecondary teacher. Located in FL.",postsecondary teacher,yes,1,college,college,True,7449,660,,college
23,"A 20-year-old female, never married, working as a elementary or middle school teacher. Located in AZ.",elementary or middle school teacher,yes,1,college,college,True,15163,1668,,college
24,"A 50-year-old female, never married, working as a automotive service technician or mechanic. Located in CA.",automotive service technician or mechanic,no,0,not_college,not_college,True,9043,866,,not_college
25,"A 24-year-old male, never married, working as a registered nurse. Located in TX.",registered nurse,yes,1,not_college,not_college,True,14205,1544,,not_college
26,"A 64-year-old male, separated, working as a industrial truck or tractor operator. Located in NC.",industrial truck or tractor operator,no,0,not_college,not_college,True,8351,775,,not_college
27,"A 42-year-old female, married present, working as a cashier. Located in OH.",cashier,no,0,college,not_college,False,9354,909,,not_college
28,"A 59-year-old male, married present, working as a registered nurse. Located in NY.",registered nurse,yes,1,not_college,not_college,True,8292,774,,not_college
29,"A 51-year-old female, never married, working as a first line supervisor of retail sales worker. Located in PR.",first line supervisor of retail sales worker,maybe,2,college,college,True,12327,1295,,college
30,"A 47-year-old male, married present, working as a customer service representative. Located in CA.",customer service representative,no,0,college,not_college,False,14975,1638,,not_college
31,"A 35-year-old female, divorced, working as a software developer. Located in MO.",software developer,yes,1,college,college,True,13449,1456,,college
32,"A 39-year-old female, married present, working as a janitor or building cleaner. Located in FL.",janitor or building cleaner,no,0,not_college,not_college,True,9936,998,,not_college
33,"A 59-year-old male, married present, working as a driver sales worker or truck driver. Located in GA.",driver sales worker or truck driver,no,0,not_college,not_college,True,8558,814,,not_college
34,"A 57-year-old male, married present, working as a shipping receiving or inventory clerk. Located in NJ.",shipping receiving or inventory clerk,no,0,not_college,not_college,True,6217,511,,not_college
35,"A 64-year-old female, married present, working as a office clerk general. Located in UT.",office clerk general,no,0,not_college,not_college,True,9839,987,,not_college
36,"A 49-year-old female, married present, working as a carpenter. Located in UT.",carpenter,no,0,not_college,not_college,True,13031,1396,,not_college
37,"A 33-year-old male, never married, working as a sales representative of services. Located in CA.",sales representative of services,maybe,2,college,college,True,8634,826,,college
38,"A 54-year-old male, married present, working as a stocker or order filler. Located in NY.",stocker or order filler,no,0,not_college,not_college,True,8466,800,,not_college
39,"A 41-year-old female, married present, working as a waiter or waitress. Located in FL.",waiter or waitress,no,0,not_college,not_college,True,10002,1002,,not_college
40,"A 51-year-old male, married present, working as a courier or messenger. Located in FL.",courier or messenger,no,0,not_college,college,False,12850,1381,,college
41,"A 22-year-old male, never married, working as a real estate broker or sales agent. Located in NY.",real estate broker or sales agent,maybe,2,not_college,college,False,10424,1058,,college
42,"A 59-year-old male, divorced, working as a first line supervisor of production or operating worker. Located in MA.",first line supervisor of production or operating worker,maybe,2,college,college,True,10053,1011,,college
43,"A 48-year-old male, divorced, working as a management analyst. Located in CA.",management analyst,yes,1,college,college,True,7360,658,,college
44,"A 20-year-old male, never married, working as a driver sales worker or truck driver. Located in NY.",driver sales worker or truck driver,no,0,not_college,not_college,True,12236,1299,,not_college
45,"A 31-year-old female, married present, working as a registered nurse. Located in GA.",registered nurse,yes,1,college,not_college,False,6379,516,,not_college
46,"A 62-year-old male, never married, working as a software developer. Located in IL.",software developer,yes,1,not_college,college,False,9214,900,,college
47,"A 48-year-old female, divorced, working as a management analyst. Located in OH.",management analyst,yes,1,college,college,True,7648,683,,college
48,"A 35-year-old female, married present, working as a software developer. Located in MS.",software developer,yes,1,not_college,college,False,12173,1297,,college
49,"A 37-year-old male, married present, working as a first line supervisor of retail sales worker. Located in AZ.",first line supervisor of retail sales worker,maybe,2,college,college,True,11117,1157,,college
50,"A 56-year-old male, married present, working as a personal financial advisor. Located in MI.",personal financial advisor,yes,1,college,college,True,7203,632,,college
51,"A 54-year-old female, never married, working as a inspector tester sorter sampler or weigher. Located in CA.",inspector tester sorter sampler or weigher,no,0,college,not_college,False,9648,976,,not_college
52,"A 37-year-old female, married present, working as a accountant or auditor. Located in KY.",accountant or auditor,yes,1,college,college,True,8735,839,,college
53,"A 42-year-old male, married present, working as a software developer. Located in WI.",software developer,yes,1,college,college,True,9374,914,,college
54,"A 50-year-old female, divorced, working as a civil engineer. Located in PA.",civil engineer,yes,1,college,college,True,6758,571,,college
55,"A 62-year-old male, married present, working as a miscellaneous agricultural worker. Located in OH.",miscellaneous agricultural worker,no,0,not_college,college,False,12775,1363,,college
56,"A 22-year-old female, married present, working as a bus driver school. Located in WA.",bus driver school,no,0,not_college,not_college,True,11450,1195,,not_college
57,"A 34-year-old female, never married, working as a licensed practical or licensed vocational nurse. Located in NC.",licensed practical or licensed vocational nurse,maybe,2,college,not_college,False,8206,775,,not_college
58,"A 57-year-old male, married present, working as a manager. Located in TX.",manager,maybe,2,college,college,True,9323,911,,college
59,"A 32-year-old female, never married, working as a miscellaneous agricultural worker. Located in CA.",miscellaneous agricultural worker,no,0,not_college,college,False,7815,715,,college
60,"A 39-year-old female, married present, working as a maintenance or repair worker general. Located in CA.",maintenance or repair worker general,no,0,not_college,not_college,True,7371,655,,not_college
61,"A 44-year-old male, married present, working as a manager. Located in GA.",manager,maybe,2,college,college,True,11848,1247,,college
62,"A 44-year-old female, married present, working as a secretary or administrative assistant. Located in WA.",secretary or administrative assistant,no,0,not_college,not_college,True,12189,1291,,not_college
63,"A 68-year-old female, divorced, working as a elementary or middle school teacher. Located in CA.",elementary or middle school teacher,yes,1,college,college,True,9126,885,,college
64,"A 61-year-old female, married present, working as a waiter or waitress. Located in FL.",waiter or waitress,no,0,not_college,college,False,12661,1363,,college
65,"A 65-year-old female, divorced, working as a construction laborer. Located in MI.",construction laborer,no,0,not_college,not_college,True,11551,1215,,not_college
66,"A 54-year-old male, married present, working as a teaching assistant. Located in NJ.",teaching assistant,maybe,2,college,not_college,False,8555,810,,not_college
67,"A 23-year-old female, never married, working as a inspector tester sorter sampler or weigher. Located in CA.",inspector tester sorter sampler or weigher,no,0,not_college,not_college,True,10684,1096,,not_college
68,"A 42-year-old male, never married, working as a physician. Located in AL.",physician,yes,1,not_college,college,False,8529,812,,college
69,"A 41-year-old female, divorced, working as a medical or health services manager. Located in CT.",medical or health services manager,yes,1,not_college,college,False,10218,1039,,college
70,"A 50-year-old male, married present, working as a inspector tester sorter sampler or weigher. Located in CA.",inspector tester sorter sampler or weigher,no,0,not_college,not_college,True,8504,812,,not_college
71,"A 28-year-old female, never married, working as a manager. Located in GA.",manager,maybe,2,not_college,college,False,5752,439,,college
72,"A 53-year-old female, married present, working as a bookkeeping accounting or auditing clerk. Located in IL.",bookkeeping accounting or auditing clerk,no,0,not_college,not_college,True,11777,1235,,not_college
73,"A 23-year-old female, never married, working as a elementary or middle school teacher. Located in TX.",elementary or middle school teacher,yes,1,college,college,True,6369,521,,college
74,"A 72-year-old male, married present, working as a computer systems analyst. Located in OH.",computer systems analyst,yes,1,not_college,college,False,10453,1059,,college
75,"A 37-year-old male, divorced, working as a personal care aide. Located in MD.",personal care aide,no,0,not_college,not_college,True,7926,724,,not_college
76,"A 55-year-old male, married present, working as a secondary school teacher. Located in MI.",secondary school teacher,yes,1,college,college,True,9503,933,,college
77,"A 54-year-old female, separated, working as a assembler or fabricator. Located in MI.",assembler or fabricator,no,0,not_college,not_college,True,7574,686,,not_college
78,"A 35-year-old male, divorced, working as a sales representative wholesale or manufacturing. Located in NM.",sales representative wholesale or manufacturing,maybe,2,college,college,True,9586,946,,college
79,"A 18-year-old male, never married, working as a janitor or building cleaner. Located in MO.",janitor or building cleaner,no,0,not_college,not_college,True,12331,1308,,not_college
80,"A 20-year-old female, never married, working as a licensed practical or licensed vocational nurse. Located in IL.",licensed practical or licensed vocational nurse,maybe,2,not_college,not_college,True,7383,654,,not_college
81,"A 50-year-old male, married present, working as a first line supervisor of non retail sales worker. Located in PA.",first line supervisor of non retail sales worker,maybe,2,college,college,True,13947,1523,,college
82,"A 30-year-old female, married present, working as a police officer. Located in TX.",police officer,maybe,2,not_college,not_college,True,8254,775,,not_college
83,"A 37-year-old male, never married, working as a production worker. Located in MI.",production worker,no,0,not_college,not_college,True,8258,770,,not_college
84,"A 52-year-old male, married present, working as a courier or messenger. Located in MD.",courier or messenger,no,0,college,college,True,14637,1620,,college
85,"A 54-year-old female, never married, working as a elementary or middle school teacher. Located in MD.",elementary or middle school teacher,yes,1,college,college,True,7675,694,,college
86,"A 43-year-old female, never married, working as a retail salesperson. Located in FL.",retail salesperson,no,0,not_college,college,False,12945,1401,,college
87,"A 42-year-old female, divorced, working as a registered nurse. Located in TX.",registered nurse,yes,1,not_college,not_college,True,14463,1599,,not_college
88,"A 25-year-old male, never married, working as a sales representative of services. Located in MO.",sales representative of services,maybe,2,not_college,college,False,8117,762,,college
89,"A 40-year-old female, married present, working as a maintenance or repair worker general. Located in MO.",maintenance or repair worker general,no,0,not_college,not_college,True,9043,879,,not_college
90,"A 60-year-old male, married present, working as a stocker or order filler. Located in AZ.",stocker or order filler,no,0,not_college,not_college,True,9160,884,,not_college
91,"A 22-year-old female, never married, working as a personal care aide. Located in WV.",personal care aide,no,0,not_college,not_college,True,5820,455,,not_college
92,"A 31-year-old male, never married, working as a clergy. Located in SC.",clergy,yes,1,college,college,True,6136,495,,college
93,"A 56-year-old male, never married, working as a elementary or middle school teacher. Located in NC.",elementary or middle school teacher,yes,1,college,college,True,7760,711,,college
94,"A 36-year-old female, married present, working as a first line supervisor of retail sales worker. Located in IL.",first line supervisor of retail sales worker,maybe,2,college,college,True,11033,1137,,college
95,"A 48-year-old female, married present, working as a software developer. Located in CT.",software developer,yes,1,college,college,True,9676,965,,college
96,"A 23-year-old male, never married, working as a carpenter. Located in NY.",carpenter,no,0,not_college,not_college,True,16452,1860,,not_college
97,"A 43-year-old male, divorced, working as a software developer. Located in IL.",software developer,yes,1,college,college,True,6973,610,,college
98,"A 20-year-old female, never married, working as a retail salesperson. Located in FL.",retail salesperson,no,0,college,not_college,False,15335,1713,,not_college
99,"A 57-year-old male, never married, working as a sales representative wholesale or manufacturing. Located in IL.",sales representative wholesale or manufacturing,maybe,2,college,college,True,9984,1002,,college
